SpT,PS1gmag,e_PS1gmag,PS1rmag,PS1imag,e_PS1imag,PS1zmag,e_PS1zmag,PS1ymag,e_PS1ymag,Jmag,e_Jmag,Hmag,e_Hmag,Ksmag,e_Ksmag,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag,W4mag,e_W4mag,label
L1.5,,,20.24,17.83,0.01,16.34,0.01,15.38,0.01,13.49,0.03,12.76,0.02,12.21,0.02,11.87,0.02,11.61,0.02,11.26,0.17,8.72,,true
L1,,,21.64,19.47,0.01,17.92,0.01,16.94,0.01,14.97,0.04,14.05,0.04,13.48,0.04,12.95,0.02,12.63,0.03,12.0,0.28,8.89,,true
L1,,,21.09,18.49,0.01,16.98,0.01,16.0,0.01,14.11,0.03,13.34,0.03,12.91,0.03,12.57,0.02,12.32,0.02,12.49,0.37,9.07,,true
T5,,,,,,,,21.05,0.08,,,,,,,,,,,,,,,true
L1.5,,,,20.61,0.04,19.38,0.03,18.34,0.06,16.64,0.16,15.77,0.2,15.39,0.2,14.86,0.03,14.82,0.05,12.52,,8.84,,true
L2,,,,20.91,0.04,19.48,0.03,18.53,0.02,16.58,0.1,15.41,0.08,14.69,0.08,14.38,0.03,14.11,0.04,12.24,,8.98,,true
T7,,,,,,,,21.26,0.1,,,,,,,17.86,0.22,16.13,0.18,12.17,,9.16,,true
T3,,,,,,,,20.29,0.15,,,,,,,,,,,,,,,true
T3,,,,,,21.56,0.06,19.77,0.12,,,,,,,,,,,,,,,true
L1,,,20.16,17.93,0.01,16.5,0.01,15.56,0.01,13.57,0.02,12.63,0.03,12.14,0.03,11.79,0.02,11.57,0.02,11.12,0.09,9.17,,true
L0,,,,20.96,0.02,19.61,0.01,18.82,0.02,16.88,,16.59,0.21,16.05,0.31,15.88,0.05,15.96,0.15,12.48,,9.2,,true
L0:,,,20.57,18.17,0.01,16.71,0.01,15.76,0.01,13.84,0.03,12.99,0.03,12.47,0.03,12.13,0.02,11.89,0.02,11.36,0.16,8.87,,true
L0:,21.54,0.02,19.76,17.34,0.01,15.91,0.01,14.99,0.01,13.17,0.03,12.33,0.02,11.82,0.02,11.56,0.02,11.33,0.02,11.12,0.24,8.72,0.52,true
L0:VL-G,,,,21.38,0.04,19.82,0.02,18.75,0.03,16.49,0.1,15.75,0.14,15.18,0.14,14.69,0.03,14.34,0.05,12.66,,8.86,,true
L0:,,,21.0,18.59,0.01,17.13,0.01,16.15,0.01,14.29,0.03,13.48,0.02,12.99,0.02,12.67,0.02,12.39,0.02,11.98,0.34,8.79,,true
L8:pec,,,,,,20.3,0.03,19.14,0.03,16.68,0.11,15.72,0.11,14.93,0.11,14.26,0.03,13.65,0.03,11.82,0.22,9.1,,true
L1,,,,20.24,0.03,18.76,0.01,17.8,0.06,15.82,0.08,15.21,0.11,14.89,0.11,14.3,0.03,14.01,0.04,12.87,0.5,8.77,,true
L0,,,21.55,19.15,0.01,17.73,0.01,16.75,0.01,14.82,0.03,13.91,0.04,13.4,0.04,12.97,0.02,12.7,0.03,11.81,0.2,9.11,,true
T6,,,,,,20.82,0.04,19.17,0.04,16.85,0.14,17.18,,17.04,,16.4,0.07,14.34,0.05,12.03,,8.87,,true
